賽事名稱	每人最低價
姬路城馬拉松	12660
首爾國際馬拉松	6180
富士山馬拉松	13950
渣打香港馬拉松	6350
石垣島馬拉松	9225
福岡馬拉松	14750
亞洲馬拉松聯盟系列賽	9500
伊勢神宮馬拉松	10235
神戶馬拉松	8900
弘前・白神蘋果馬拉松	7630
JTBC首爾馬拉松	9405
岩手盛岡城市馬拉松	8525
【越野三鐵】	32000
函館山包車夜景遊｜60/90分鐘路線	1628
函館觀光包車一日遊｜3小時	3618
【首爾出發】首爾10大打卡熱點精華一日遊	2248
【首爾出發】首爾秘境夜景+廣藏市場半日遊	2091
【首爾出發】廣藏市場特色美食之旅★美食集章大挑戰★	2115
札幌馬拉松	8515
山形馬拉松	8975
新潟馬拉松	9835
東京傳承半程馬拉松2025/10/19	35550
長井馬拉松	7325
橫濱馬拉松	9500
水戶黃門馬拉松	10500
金澤馬拉松	11650
奈良馬拉松	7675
岡山馬拉松	11600
日立櫻花馬拉松	5340
山寺藏王超級馬拉松	9650
仙台半程馬拉松	9200
洞爺湖馬拉松	10145
函館馬拉松	9750
北海道馬拉松	17645
富士山登頂之旅｜吉田口經典路線・山屋過夜・新宿來回接駁	16670
富士山登頂之旅｜富士宮經典路線・山屋過夜	20800
富士山登頂之旅｜富士宮經典路線・富士急飯店＋山屋過夜	23600
富士山登頂之旅｜七合目東洋館・吉田口經典路線・新宿來回	22000
2025富士山御來光	30900
【單車+登山】日本富士山登頂．單車環湖騎旅5日	62800
《世界遺產》日本熊野古道～百大名湯～美食健行5日(含小費)	56900
富士山登頂之旅｜吉田口經典路線・山屋過夜	20500
【主題旅遊】東南亞第一高峰~沙巴神山健行.馬慕迪島浮潛之旅6日遊	58000
【登山】東南亞第一高峰．馬來西亞沙巴神山5日	68000
【越野跑】錦繡山越野賽	11000
【越野跑】Trans	3300
【單車】日本最高公路賽．乘鞍高原．自行車登山賽5日	58800
【單車】日本單車環四國一周1000公里認證12日．加碼騎乘島波海道	110000
【單車】韓國洛東江賞櫻5日_	35800
【單車】日本環琵琶湖賞櫻5日_神戶	76800
【EBIKE電輔車】海之京都天橋立	33800
【單車】長野	36500
新雪谷經典單車賽	14500
泰國高爾夫特輯	12400
曼谷高爾夫	15000
清邁高爾夫	12400
芭達雅高爾夫	20200
華欣高爾夫	14800
長崎高爾夫	27805
江原道高爾夫	30471
